date,code,name,market,open,high,low,close,change,change_rate,volume,trading_value,market_cap,listed_shares
20251208,035720,카카오,KOSPI,61700,62700,61200,62000,500,0.81,2032027,125661833750,27427817796000,442384158
20251209,005380,현대차,KOSPI,308000,312000,301500,307000,-8500,-2.69,1229611,375959675250,62860634162000,204757766
20251209,005930,삼성전자,KOSPI,108900,109400,107300,108400,-1100,-1.0,13671800,1482781413052,641688750744800,5919637922
20251209,035720,카카오,KOSPI,61800,61800,60800,60800,-1200,-1.94,1385209,84555958650,26896956806400,442384158
20251210,005380,현대차,KOSPI,304500,306000,297500,302500,-4500,-1.47,1173271,354110322250,61939224215000,204757766
20251210,005930,삼성전자,KOSPI,108300,109800,107400,108000,-400,-0.37,12365092,1339076683680,639320895576000,5919637922
20251210,035720,카카오,KOSPI,60900,60900,59200,59200,-1600,-2.63,2378957,141622144250,26189142153600,442384158
20251211,005380,현대차,KOSPI,304000,306500,295500,295500,-7000,-2.31,1465528,437923939500,60505919853000,204757766
20251211,005930,삼성전자,KOSPI,109200,110500,107300,107300,-700,-0.65,22994507,2490050541672,635177149030600,5919637922
20251211,035720,카카오,KOSPI,59500,59700,58500,59200,0,0.0,2510659,148260391100,26189142153600,442384158
20251212,005380,현대차,KOSPI,299000,303000,295500,301500,6000,2.03,827283,248531981750,61734466449000,204757766
20251212,005930,삼성전자,KOSPI,107100,108900,106800,108900,1600,1.49,14210314,1537684811788,644648569705800,5919637922
20251212,035720,카카오,KOSPI,59400,59800,58800,59800,600,1.01,1252395,74347074750,26456943180200,442423799
20251215,005380,현대차,KOSPI,296500,297500,293500,293500,-8000,-2.65,798990,235672657000,60096404321000,204757766
20251215,005930,삼성전자,KOSPI,105300,105800,104600,104800,-4100,-3.76,20594654,2165419255257,620378054225600,5919637922
20251215,035720,카카오,KOSPI,59000,60900,58500,59600,-200,-0.33,1648246,98663953250,26368458420400,442423799
20251216,005380,현대차,KOSPI,296500,301500,284500,286000,-7500,-2.56,1264096,365085126250,58560721076000,204757766
20251216,005930,삼성전자,KOSPI,104900,105600,102700,102800,-2000,-1.91,18852079,1956433462038,608538778381600,5919637922
20251216,035720,카카오,KOSPI,59100,59600,57600,57900,-1700,-2.85,2297669,133529601000,25616337962100,442423799
20251217,005380,현대차,KOSPI,288000,288500,284000,286000,0,0.0,686802,196407384250,58560721076000,204757766
20251217,005930,삼성전자,KOSPI,103500,108100,103400,107900,5100,4.96,22297611,2355122133240,638728931783800,5919637922
20251217,035720,카카오,KOSPI,58200,58300,57000,57000,-900,-1.55,1746055,100232807250,25218156543000,442423799
20251218,005380,현대차,KOSPI,280500,285000,280000,282500,-3500,-1.22,705877,198943996500,57844068895000,204757766
